n_realizations,seeds,segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,measured_uu,measured_uu_particle_shot,measured_uu_clustering,measured_2uh,measured_hh,measured_hh_parallel,measured_hh_residual,measured_coherent_total,measured_orthogonal_total,measured_total,cross_correlation,cross_correlation_jackknife_sem,linear_theory,corrected_two_halo_theory,one_halo_theory,particle_shot_theory,coherent_over_linear,coherent_over_linear_jackknife_sem,corrected_two_halo_over_linear,measured_total_over_baseline_total,measured_total_over_corrected_total,decomposition_valid,linear_power_evolution,two_halo_model
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,20,39,30.608333333333334,1.3467444729521367e-05,3.319547071127023e-08,1.3434249258810097e-05,9.343001363275456e-06,1.7783531026864227e-06,1.6244241265830633e-06,1.539289761033594e-07,2.4401674748668616e-05,1.8712444681462963e-07,2.4588799195483246e-05,0.955742100439716,0.0008142374578748254,2.4840662051214248e-05,2.4878611083758927e-05,1.2095590543843961e-12,3.357280978428278e-08,0.9823278742877075,0.01337793787334179,1.0015276981131356,0.9885247983389449,0.9870189665707506,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,40,59,50.165,1.1163844048725074e-05,3.319547071127023e-08,1.1130648578013804e-05,7.697884600097286e-06,1.4903006893435756e-06,1.3309518062016893e-06,1.5934888314188636e-07,2.015948498431278e-05,1.925443538531566e-07,2.035202933816593e-05,0.9450269935990161,0.0007617624650345718,2.0507585192946e-05,2.0562414273868323e-05,7.626715748697332e-12,3.3572809784282775e-08,0.9830257826380768,0.01434368687254621,1.0026736000560994,0.9907923291846217,0.9881547176704406,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,60,79,69.975,9.1861001645742e-06,3.319547071127023e-08,9.15290469386293e-06,6.3081381512211965e-06,1.2478963081481856e-06,1.0868846630068572e-06,1.6101164514132832e-07,1.6547927508090984e-05,1.9420711585259854e-07,1.674213462394358e-05,0.933259630732044,0.0005255671615479997,1.7007796372156095e-05,1.7082047546162333e-05,2.7388885512445254e-11,3.357280978428278e-08,0.9729612905750697,0.006324475181510086,1.0043657139573823,0.9824391184350095,0.9781770969783293,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,80,99,89.86944444444444,7.691370600639532e-06,3.319547071127023e-08,7.658175129928261e-06,5.333746650869451e-06,1.0922083087953463e-06,9.287086300913435e-07,1.6349967870400286e-07,1.3920630410889056e-05,1.9669514941527308e-07,1.4117325560304327e-05,0.9221190679286518,0.0008258466216800616,1.4326349024978364e-05,1.4420312150601886e-05,7.225513474385209e-11,3.357280978428277e-08,0.9716802506080281,0.011879912988117412,1.0065587628403925,0.983101070371346,0.9767100697617186,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,100,119,109.80227272727272,6.188094235932811e-06,3.319547071127023e-08,6.15489876522154e-06,4.279600065402855e-06,9.088986153942833e-07,7.439186824357496e-07,1.6497993295853367e-07,1.1178417513060144e-05,1.981754036698039e-07,1.1376592916729949e-05,0.9047008781120881,0.0007293505090105885,1.1576263217928792e-05,1.1683997120963493e-05,1.572481600713758e-10,3.3572809784282775e-08,0.9656326314131763,0.006944198513648558,1.0093064489815546,0.9798965982496967,0.9708873353194339,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,120,139,129.75576923076923,4.967840744598466e-06,3.319547071127023e-08,4.934645273887195e-06,3.4365617540573626e-06,7.65134655402832e-07,5.983184217893485e-07,1.6681623361348347e-07,8.969525449733906e-06,2.000117043247537e-07,9.169537154058663e-06,0.8842951657541842,0.0007552797854112889,9.350583251426001e-06,9.468459895670555e-06,3.00127611546934e-10,3.3572809784282775e-08,0.9592476970210407,0.004524444145587096,1.0126063413452393,0.9770984028867686,0.9649774760730698,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,140,159,149.72166666666666,4.250595235983017e-06,3.319547071127023e-08,4.217399765271746e-06,2.94256340921619e-06,6.79705618260452e-07,5.132712037733568e-07,1.664344144870952e-07,7.673234378261293e-06,1.9962988519836543e-07,7.87286426345966e-06,0.868986480691961,0.0011185714426529196,7.990841615875322e-06,8.121649775991893e-06,5.207741318305892e-10,3.3572809784282795e-08,0.9602535936911775,0.007709136566683139,1.0163697600834305,0.9810501975971434,0.965315350917131,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,160,179,169.6955882352941,3.7086241286285203e-06,3.319547071127023e-08,3.67542865791725e-06,2.575377714089993e-06,6.175675128071094e-07,4.511426412769678e-07,1.6642487153014163e-07,6.70194901328421e-06,1.9962034224141186e-07,6.901569355525623e-06,0.8547019956784524,0.000907479405235957,6.95731708720345e-06,7.100505294005859e-06,8.405090309102514e-10,3.3572809784282795e-08,0.9632950358998389,0.005011359395746196,1.020580951681184,0.9871046157020861,0.9672947555594938,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,180,199,189.675,3.126399933761079e-06,3.319547071127023e-08,3.0932044630498086e-06,2.1673230632610067e-06,5.465914932971857e-07,3.796458750670239e-07,1.6694561823016176e-07,5.6401734013778396e-06,2.0014108894143198e-07,5.840314490319271e-06,0.833408467412213,0.0008803702681703815,5.875567778164914e-06,6.02427881041399e-06,1.2813763137712817e-09,3.3572809784282775e-08,0.9599367438731864,0.007168189909833079,1.0253100700840732,0.9881383301619414,0.9638861688101686,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,200,219,209.65833333333333,2.643196079844108e-06,3.319547071127023e-08,2.6100006091328376e-06,1.8423219205781777e-06,4.901864083153292e-07,3.251100830365858e-07,1.650763252787434e-07,4.777432612747601e-06,1.9827179599001363e-07,4.9757044087376145e-06,0.8143940404424492,0.001192610006159586,4.975251714604647e-06,5.1272143314762445e-06,1.865414478465839e-09,3.3572809784282775e-08,0.9602393781853577,0.005075688640986959,1.0305437042362133,0.9930178217856981,0.9637883539550689,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
8,1386;2281;3253;4253;5237;6211;7213;8231,0,0.44933801,0.49256256,220,239,229.64456521739132,2.3441186188757322e-06,3.319547071127023e-08,2.310923148164462e-06,1.641184392836298e-06,4.550947857272119e-07,2.913863896154283e-07,1.637083961117836e-07,4.243493930616188e-06,1.9690386682305383e-07,4.440397797439243e-06,0.8001726469805772,0.0015169594595253679,4.383442911866637e-06,4.5420846552760896e-06,2.6139450069943445e-09,3.357280978428278e-08,0.9680732738935447,0.006021011213656922,1.0361911279784175,1.0046990658375756,0.969885225169275,True,scale_dependent_camb,castro_corrected_numerical_pbs_compensated_response
