segment_index,z_lo,z_hi,f_sky,nside,mean_total_counts_per_pixel,mean_uncollapsed_counts_per_pixel,measured_shell_weight,volume_shell_weight,normalized_hmf_mass_integral,ell_limber_start,shell_ell_high_ell_start,summed_ell_limber_start,high_ell_match_shell_relative_error,limber_match_summed_relative_error,shell_linear_high_ell_mode,two_halo_model,one_halo_compensation,reconstructed_sigma8,reference_sigma8,sigma8_relative_error,linear_power_evolution,theory_convention
0,0.44933801,0.49256256,1.0,2048,6.792745927581992,6.134806364774704,0.21314103082613745,0.21314092656210312,1.0000000000194256,140,2,140,0.0018524981563889686,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
1,0.40720486,0.44933801,1.0,2048,5.69525382149744,5.179785030583541,0.17870420640958246,0.17870424533983864,1.0000000000136655,140,2,140,0.002141803780792629,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
2,0.36610056,0.40720486,1.0,2048,4.811866616402342,4.301384213070075,0.15098551038886823,0.15098555331337782,1.0000000000076543,140,2,140,0.002647399846096969,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
3,0.32596586,0.36610056,1.0,2048,3.9476309554025053,3.5080478961269064,0.12386774658229754,0.12386777410583573,1.0000000000011942,140,2,140,0.0032646709178441578,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
4,0.28674463,0.32596586,1.0,2048,3.1405550530151882,2.797061244646708,0.09854352694804397,0.0985434837644421,0.9999999999941104,140,2,140,0.004004932067356782,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
5,0.2483836,0.28674463,1.0,2048,2.4753202383842647,2.1684533978501954,0.07766996040463257,0.07766994358217781,0.9999999999863497,140,2,140,0.00529040584938357,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
6,0.21083225,0.2483836,1.0,2048,1.8541399575683237,1.6193078383803368,0.058178725667827225,0.05817874585654851,0.99999999997781,140,2,140,0.006978309025026284,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
7,0.17404257,0.21083225,1.0,2048,1.3216022817859978,1.1509318177898726,0.04146889574336179,0.04146891277919573,0.9999999999684557,140,2,140,0.00953818920915111,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
8,0.13796899,0.17404257,1.0,2048,0.895373855603258,0.7670264144738516,0.02809481005069551,0.028094825402350733,0.9999999999582451,140,123,140,0.009199093707018767,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
9,0.10256817,0.13796899,1.0,2048,0.541229351707423,0.4613464027643204,0.01698255509128783,0.016982568210772656,0.9999999999471515,140,119,140,0.009643783288762487,0.009952917499675647,finite_width_flat_sky,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
10,0.06779888,0.10256817,1.0,2048,0.27588791080930203,0.23586537688970566,0.008656739752858116,0.008656732360860946,0.9999999999351369,140,378,140,0.009979737655635184,0.009952917499675647,limber,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
11,0.03362193,0.06779888,1.0,2048,0.10319484357353705,0.08656979352235794,0.003238021202279128,0.0032380181086686054,0.9999999999222661,140,323,140,0.009998871528056844,0.009952917499675647,limber,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
12,0.0,0.03362193,1.0,2048,0.014923665588412084,0.01184004545211792,0.00046827093212817837,0.00046827061382784957,0.9999999999084536,140,360,140,0.009996330690145083,0.009952917499675647,limber,standard_normalized_hmf_castro_bias,lagrangian_top_hat_difference,0.6085032466547744,0.6085032466547744,0.0,scale_dependent_camb,fullsky
