segment_index,z_lo,z_hi,ell_min,ell_max,ell_effective,theory_cl,ensemble_mean_theoretical_normalization_cl,ensemble_mean_measured_normalization_cl,realization_std_cl,ensemble_sem_cl,theoretical_normalization_mean_over_theory,measured_normalization_mean_over_theory,mean_minus_theory_over_sem,theory_model,linear_power_evolution
0,0.44933801,0.49256256,20,39,30.608333333333334,2.5070844120856847e-05,2.458879919548325e-05,2.492045406224715e-05,9.407543174473692e-07,3.3260687864877834e-07,0.9807726886637783,0.9940013962878663,-1.4492933138722652,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,40,59,50.165,2.0737549482006907e-05,2.0352029338165938e-05,2.062694443402193e-05,8.348312434437525e-07,2.951574166927374e-07,0.9814095612321277,0.9946664359701254,-1.30615096229244,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,60,79,69.975,1.7237501714655584e-05,1.674213462394358e-05,1.6969060087024477e-05,3.081093406949127e-07,1.0893310207614453e-07,0.9712622456019346,0.9844268831948615,-4.54744316714436,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,80,99,89.86944444444444,1.4555780173436504e-05,1.4117325560304327e-05,1.4308741281975448e-05,4.828429467287113e-07,1.7071076093998335e-07,0.969877628824573,0.983028124324666,-2.56840641279974,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,100,119,109.80227272727272,1.1805477383208274e-05,1.1376592916729949e-05,1.1531156948659444e-05,2.2903177763375979e-07,8.097496153602049e-08,0.9636707222794433,0.9767632916785717,-5.2965071960860675,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,120,139,129.75576923076923,9.579610774734419e-06,9.169537154058661e-06,9.29362841944728e-06,1.192107570808246e-07,4.2147367361116656e-08,0.9571930811889248,0.9701467667098336,-9.729519216758344,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,140,159,149.72166666666666,8.219637644389028e-06,7.87286426345966e-06,7.979162322162765e-06,1.7557330327372796e-07,6.207453667008765e-08,0.957811597550643,0.9707438049424941,-5.586403049166398,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,160,179,169.6955882352941,7.185875708652176e-06,6.901569355525622e-06,6.995032912801536e-06,9.924196533061823e-08,3.50873333317802e-08,0.9604353923371881,0.973441957029558,-8.102820195487604,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,180,199,189.675,6.103957637465264e-06,5.840314490319272e-06,5.9193404147741e-06,1.2052114467812586e-07,4.2610659339133884e-08,0.9568078347189394,0.96975450459256,-6.187258100084381,standard-halo-model-uncompensated,scale_dependent_camb
0,0.44933801,0.49256256,200,219,209.65833333333333,5.203487740278734e-06,4.9757044087376145e-06,5.0430793811997944e-06,7.274190743362257e-08,2.5718148011379322e-08,0.9562248739863625,0.9691729149590833,-8.856910359188154,standard-halo-model-uncompensated,scale_dependent_camb
