segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
0,30.608333333333334,1.346744472952137e-05,1.3624603975687016e-05,9.343001363275456e-06,9.403652993186888e-06,1.778353102686423e-06,1.6762209904960225e-06,3.940292175894553e-08
0,50.165,1.1163844048725076e-05,1.123006948252048e-05,7.697884600097286e-06,7.736799510106533e-06,1.490300689343576e-06,1.386393997213548e-06,2.3812227366747265e-08
0,69.975,9.186100164574199e-06,9.29327838621556e-06,6.3081381512211965e-06,6.389060906503365e-06,1.2478963081481853e-06,1.1523351149546572e-06,2.0859582108397736e-08
0,89.86944444444444,7.691370600639532e-06,7.812507795590003e-06,5.33374665086945e-06,5.358353006827261e-06,1.0922083087953465e-06,9.735253763287502e-07,2.2831173261847487e-08
0,109.80227272727272,6.188094235932811e-06,6.32644668495383e-06,4.279600065402856e-06,4.324163252418567e-06,9.088986153942833e-07,7.942823226593623e-07,7.451728529277431e-09
0,129.75576923076923,4.967840744598465e-06,5.135150480540533e-06,3.436561754057363e-06,3.4956931427637338e-06,7.651346554028318e-07,6.510710769915011e-07,-4.454338685373464e-09
0,149.72166666666666,4.2505952359830175e-06,4.392662432312902e-06,2.9425634092161905e-06,2.9795051988197212e-06,6.797056182604519e-07,5.623181805420569e-07,5.101669203507078e-09
0,169.6955882352941,3.7086241286285194e-06,3.827493523249994e-06,2.5753777140899932e-06,2.5863781119339053e-06,6.175675128071094e-07,4.950437675493954e-07,1.3635339717954109e-08
0,189.675,3.126399933761079e-06,3.2657237720294075e-06,2.1673230632610067e-06,2.195788734929501e-06,5.465914932971857e-07,4.2835964925396515e-07,-1.543487557390837e-10
0,209.65833333333333,2.643196079844107e-06,2.8011093200582857e-06,1.8423219205781775e-06,1.8731268539156418e-06,4.901864083153293e-07,3.7366217599456774e-07,-8.931899531326666e-09
0,229.64456521739132,2.3441186188757327e-06,2.4788128045854643e-06,1.6411843928362985e-06,1.6494626290638158e-06,4.5509478572721175e-07,3.362885261997645e-07,6.20200297418904e-11
