segment,ell,UU_measured_cl,UU_candidate_cl,2UH_measured_cl,2UH_candidate_cl,HH_measured_cl,HH_candidate_cl,linear_projection_correction_cl
9,30.608333333333334,9.665792839335162e-05,0.00010393694299732232,9.695891397155911e-05,9.49752461307479e-05,2.8647408309728535e-05,2.279293888573004e-05,-9.868625301710728e-07
9,50.165,5.159757309267804e-05,5.734411698036715e-05,5.255504903241655e-05,5.193871402676806e-05,1.7878618631134476e-05,1.3129439885233982e-05,-4.482078786020592e-07
9,69.975,3.085297850808058e-05,3.561023300160722e-05,3.178118385725884e-05,3.189998547403335e-05,1.2779724396267838e-05,8.88363570449423e-06,-2.8580460769928273e-07
9,89.86944444444444,2.0816955246251317e-05,2.416040461425491e-05,2.215686665388833e-05,2.137560663213179e-05,1.0346279527636339e-05,6.899171234752098e-06,-2.2606196551005072e-07
9,109.80227272727272,1.4440574811960109e-05,1.735615332912039e-05,1.5654587407774622e-05,1.51493995156576e-05,8.820029403349754e-06,5.931374182179684e-06,-1.427074462077337e-07
9,129.75576923076923,1.0700359613872856e-05,1.2956179626105105e-05,1.1815229206834554e-05,1.1145235758869691e-05,7.774796165918113e-06,5.466360116023371e-06,-8.65082286808193e-08
9,149.72166666666666,8.10574825428254e-06,9.947595248736435e-06,9.024866119896246e-06,8.423550105010605e-06,7.011596630342796e-06,5.261674905185653e-06,-3.426891188737931e-08
9,169.6955882352941,6.41743891324616e-06,7.800150495512014e-06,7.173062740004566e-06,6.4921915906627555e-06,6.591373365768725e-06,5.188073811230037e-06,-1.6920905144140393e-08
9,189.675,5.107375780438334e-06,6.218302209077773e-06,5.705408579013213e-06,5.07704812554379e-06,6.210200788625903e-06,5.175561268035413e-06,-2.6024459512626526e-08
9,209.65833333333333,4.0831118714719645e-06,5.027529053281476e-06,4.518365143639337e-06,4.016628331904564e-06,5.886976320367335e-06,5.18673082710265e-06,-2.9259903113688723e-08
9,229.64456521739132,3.377124011205857e-06,4.1155324875658405e-06,3.7000824483521906e-06,3.2075605863186178e-06,5.696763519118377e-06,5.2020788485622216e-06,-3.008059723106517e-08
9,249.633,2.829307529379137e-06,3.408265737757424e-06,2.9857146588237574e-06,2.582116064087284e-06,5.53889487946171e-06,5.212568583030178e-06,-2.898152353286919e-08
9,269.6231481481482,2.376887203258033e-06,2.853826904929211e-06,2.4344777430064023e-06,2.0931707798126224e-06,5.425684898625046e-06,5.214703678440151e-06,-2.7688656141586855e-08
9,289.6146551724138,2.0441358714710586e-06,2.4158750877500887e-06,2.028956373996552e-06,1.7079386537311835e-06,5.390114422718022e-06,5.20790320894847e-06,-2.6626277965894485e-08
9,309.60725806451615,1.7901831434779089e-06,2.0671250867569364e-06,1.69007321614794e-06,1.4019627517244423e-06,5.312751720136937e-06,5.192863004001257e-06,-2.49437876366002e-08
9,329.6007575757576,1.5417230186216231e-06,1.7877612270006072e-06,1.3704020254848957e-06,1.1575535560225925e-06,5.2661776780979714e-06,5.1707690729407175e-06,-2.349032373534884e-08
9,349.595,1.3711427789311294e-06,1.5620833093576747e-06,1.1378714993749332e-06,9.607626547261648e-07,5.174663337725192e-06,5.14287351286363e-06,-2.1491198056336288e-08
9,369.58986486486486,1.2017214399692372e-06,1.3791249898842789e-06,9.406659181946109e-07,8.018435399665293e-07,5.158349438700895e-06,5.110228121953735e-06,-1.9980210049410044e-08
9,389.5852564102564,1.0781927837895746e-06,1.2299136332662748e-06,7.560249292467558e-07,6.72838274861997e-07,5.136493783447948e-06,5.073697743953154e-06,-1.8734164038929168e-08
9,409.5810975609756,9.816795609340171e-07,1.1074670379115666e-06,6.43791431538746e-07,5.675541595217846e-07,5.0938309816779955e-06,5.033919246121313e-06,-1.7496556949326107e-08
9,429.57732558139537,8.855873399803783e-07,1.0064773892471556e-06,5.467848199712936e-07,4.812713033964902e-07,5.070154697711665e-06,4.991319631392485e-06,-1.6295580514864627e-08
9,449.5738888888889,8.076878021984864e-07,9.22780099443785e-07,4.4380867506300915e-07,4.1027754794171433e-07,5.030623888791468e-06,4.946172394982186e-06,-1.5173853776473637e-08
