n_realizations,seeds,z_lo,z_hi,ell_min,ell_max,ell_effective,predicted_uu,measured_uu,predicted_over_measured_uu,predicted_2uh,measured_2uh,predicted_over_measured_2uh,predicted_hh,measured_hh,predicted_over_measured_hh,predicted_total,measured_total,predicted_over_measured_total
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,200,219,209.65833333333333,4.832421984156074e-06,4.07890038723691e-06,1.1847364547751575,3.902673285359997e-06,4.142121258825524e-06,0.9421919450196344,1.7969450301048485e-06,2.611342802093436e-06,0.6881306539548507,1.0532040299620918e-05,1.0832364448155869e-05,0.9722752913297633
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,220,239,229.64456521739132,4.107454500773144e-06,3.4648915750926384e-06,1.1854496487854245,3.280722932547941e-06,3.563575287483597e-06,0.9206268053521633,1.7461808082658215e-06,2.4839623531074135e-06,0.7029819941036408,9.134358241586907e-06,9.512429215683648e-06,0.9602550551994231
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,240,259,249.633,3.5232683403790906e-06,2.9139469131386305e-06,1.209105191482077,2.7817458675777193e-06,2.989132812642043e-06,0.9306196953888383,1.717306303571118e-06,2.329771645093967e-06,0.7371135738506482,8.02232051152793e-06,8.232851370874641e-06,0.9744279533465761
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,260,279,269.6231481481482,3.0460314392576297e-06,2.511190715921945e-06,1.212982916806988,2.3758796927204142e-06,2.5879143474972912e-06,0.9180673599255978,1.7027873717771411e-06,2.2207982055778054e-06,0.7667456536574927,7.1246985037551865e-06,7.319903268997042e-06,0.973332329940939
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,280,299,289.6146551724138,2.6517292618423134e-06,2.1952465893733836e-06,1.207941410627236,2.041918991549885e-06,2.264248986443568e-06,0.9018085041774074,1.6973618564135157e-06,2.16769085295458e-06,0.783027641649176,6.3910101098057134e-06,6.62718642877153e-06,0.9643625056418405
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,300,319,309.60725806451615,2.322234872437992e-06,1.9056623633940374e-06,1.2185972274238694,1.7639033962103238e-06,1.9623238893794364e-06,0.8988849423670519,1.6972587719774274e-06,2.106449025201246e-06,0.8057440515634006,5.783397040625743e-06,5.97443527797472e-06,0.9680240510675115
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,320,339,329.6007575757576,2.0447828252148217e-06,1.6940531374867133e-06,1.2070358243003219,1.5306045033214707e-06,1.7417391017586322e-06,0.8787794347477306,1.6999973807533029e-06,2.045284836616077e-06,0.8311787924688026,5.275384709289596e-06,5.481077075861423e-06,0.9624722725615933
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,340,359,349.595,1.8094494843023386e-06,1.4788851453374306e-06,1.2235226582720762,1.3333321335401986e-06,1.4963155040979938e-06,0.8910768684068108,1.7038930829792552e-06,1.9813218641116246e-06,0.8599779338443017,4.846674700821792e-06,4.956522513547048e-06,0.9778377254567042
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,360,379,369.58986486486486,1.6086235704173913e-06,1.3201518637382795e-06,1.2185140320616186,1.1654475813874513e-06,1.3257034678546548e-06,0.8791163406047804,1.7078418095740538e-06,1.943981894760897e-06,0.8785276314438681,4.481912961378897e-06,4.589837226353831e-06,0.9764862543806004
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,380,399,389.5852564102564,1.4364456961459282e-06,1.1779909266476131e-06,1.2194030222574286,1.021862790381632e-06,1.1599541971377312e-06,0.8809509831536025,1.7111666204731696e-06,1.8993665744479329e-06,0.9009143592887197,4.16947510700073e-06,4.237311698233278e-06,0.9839906534936215
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,400,419,409.5810975609756,1.2881658441108474e-06,1.060337405484956e-06,1.214864096510574,8.984781435274205e-07,1.0374088204899866e-06,0.8660791442886068,1.7134881866000385e-06,1.8802529823113296e-06,0.9113072563744624,3.900132174238308e-06,3.977999208286273e-06,0.9804255782942928
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,420,439,429.57732558139537,1.159926436721891e-06,9.66665104435079e-07,1.1999258392592482,7.91983584550612e-07,9.135706951521694e-07,0.8669100144665814,1.7146162616767553e-06,1.8617469982911948e-06,0.9209716804971441,3.6665262829492578e-06,3.7419827978784436e-06,0.9798351518419682
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,440,459,449.5738888888889,1.0486524487563031e-06,8.759025165654831e-07,1.1972250666297808,6.997529152176751e-07,8.058180339079146e-07,0.8683758438913765,1.7144950294946735e-06,1.832972412762648e-06,0.9353632479992396,3.4629003934686527e-06,3.514692963236046e-06,0.9852639845616253
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,460,479,469.5707446808511,9.518033684203021e-07,7.967392232245167e-07,1.1946234610720166,6.196273667397514e-07,7.084998881300577e-07,0.8745624058955501,1.71315096499439e-06,1.8174095960112425e-06,0.9426333880674593,3.2845817001544437e-06,3.3226487073658165e-06,0.9885431742672693
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,480,499,489.5678571428571,8.672742680911941e-07,7.314935107837648e-07,1.1856212738810845,5.498260779956805e-07,6.426000012353139e-07,0.8556272594751202,1.710657504293223e-06,1.788296392599642e-06,0.9565849997641859,3.1277578503800986e-06,3.162389904618721e-06,0.9890487715673385
8,1386;2281;3253;4253;5237;6211;7213;8231,0.17404257,0.21083225,500,512,506.02764067127345,8.054734884272641e-07,6.783853037651653e-07,1.187339236208001,4.988827647380961e-07,5.809313730890227e-07,0.8587636816468622,1.7078359470718223e-06,1.7820629837675636e-06,0.9583476917640623,3.012192200237183e-06,3.041379660621752e-06,0.9904032170785931
