map,z_lo,z_hi,ell_min,ell_max,ell_effective,low_theory_cl,low_observed_cl,high_observed_cl,low_observed_over_theory,high_observed_over_theory,high_over_low_observed
summed,,,20,39,30.608333333333334,1.4862425994484557e-07,1.5764892343008103e-07,1.574423390359562e-07,1.0607213350538096,1.0593313574404544,0.9986895921035804
summed,,,40,59,50.165,1.5468272264584182e-07,1.559481757016518e-07,1.5563986672348387e-07,1.0081809592833928,1.0061877891807833,0.998023003624244
summed,,,60,79,69.975,1.4367981695238568e-07,1.3972376701731287e-07,1.3948418432752314e-07,0.9724662098060453,0.9707987335044216,0.9982853118341704
summed,,,80,99,89.86944444444444,1.2825953689572222e-07,1.2666400953360734e-07,1.262930889783229e-07,0.9875601658891683,0.9846682128674916,0.9970716183969683
summed,,,100,119,109.80227272727272,1.1348718378496974e-07,1.0460084064848701e-07,1.043434333781984e-07,0.9216973860826421,0.9194292245008345,0.9975391472124624
summed,,,120,139,129.75576923076923,1.0085432269730147e-07,9.383095837911851e-08,9.360074994265387e-08,0.9303612960719345,0.9280787123382102,0.9975465620255685
summed,,,140,159,149.72166666666666,9.036127118848863e-08,8.69873032320347e-08,8.67791328939794e-08,0.9626613491368883,0.9603575929444698,0.9976068882432186
summed,,,160,179,169.6955882352941,8.153131234132419e-08,7.935075576849357e-08,7.920838094741718e-08,0.9732549800780601,0.9715087206718537,0.9982057534336313
summed,,,180,199,189.675,7.38492560472602e-08,7.320859452077693e-08,7.300125852892598e-08,0.9913247396009883,0.988517182653925,0.9971678736190994
summed,,,200,219,209.65833333333333,6.696730358652085e-08,6.728660920623881e-08,6.710394403286582e-08,1.0047680823718013,1.002040405377356,0.9972852670757549
summed,,,220,239,229.64456521739132,6.071764412252488e-08,5.7722429337534106e-08,5.756363943450784e-08,0.950669779299299,0.9480545608513328,0.997249077960705
summed,,,240,259,249.633,5.505079287786356e-08,5.550473718777966e-08,5.540929863869996e-08,1.0082459177458756,1.0065122724323297,0.9982805332676954
summed,,,260,279,269.6231481481482,4.997662785124418e-08,4.867979033094408e-08,4.8616403083463824e-08,0.974051119972317,0.9727827821471053,0.9986978734491393
summed,,,280,299,289.6146551724138,4.551286470326051e-08,4.5162966234362596e-08,4.506641000422622e-08,0.9923120974436741,0.9901905823343546,0.9978620485280943
summed,,,300,319,309.60725806451615,4.16449111785132e-08,4.0713646861886996e-08,4.0597700629117854e-08,0.9776379804813536,0.9748538171949408,0.9971521531057518
