zbin,n_sample,lower,upper,count,expected,sigma,ratio,pull
0,21636,12.0,12.3,0,0.0,0.0,,
0,21636,12.3,12.6,0,0.0,0.0,,
0,21636,12.6,12.9,1,0.9999999999303406,8.346220064377558e-06,1.0000000000696594,8.346220064958953e-06
0,21636,12.9,13.2,2,2.0000000000696594,8.346220064377558e-06,0.9999999999651703,-8.346220064958953e-06
0,21636,13.2,13.5,8,7.999999999454936,2.334661750134562e-05,1.000000000068133,2.3346612758679703e-05
0,21636,13.5,13.8,34,34.63935045642576,0.49689182553008054,0.9815426545821053,-1.2866994858361884
0,21636,13.8,14.1,135,134.0372188021905,1.136229400676194,1.0071829392344402,0.8473475490394229
0,21636,14.1,14.4,425,424.7031924756233,2.443646696381182,1.0006988587079992,0.12146089891645126
0,21636,14.4,14.7,681,680.0869440817415,3.2264500849004367,1.0013425576335557,0.2829908705333776
0,21636,14.7,15.0,1075,1079.561075967851,3.3057162911416462,0.9957750644503723,-1.3797542094199862
0,21636,15.0,15.3,1578,1576.064857299991,3.5880997506320256,1.0012278318947636,0.5393224365259478
0,21636,15.3,15.6,2249,2249.193411305106,3.6574248420505775,0.999914008593421,-0.05288182627361171
0,21636,15.6,15.9,3346,3351.5132615809034,4.046665914360877,0.9983549933565524,-1.362420742799118
0,21636,15.9,16.2,4515,4519.121625828523,6.525469101489967,0.9990879586411292,-0.6316213845196157
0,21636,16.2,16.5,5002,4998.042888564891,9.221864746497916,1.000791732188646,0.42910100547852886
0,21636,16.5,16.8,2585,2578.036173637299,7.272494573199444,1.002701213595803,0.957556763034824
0,21636,16.8,17.1,0,0.0,0.0,,
0,21636,17.1,17.4,0,0.0,0.0,,
0,21636,17.4,17.7,0,0.0,0.0,,
0,21636,17.7,18.0,0,0.0,0.0,,
0,21636,18.0,18.3,0,0.0,0.0,,
0,21636,18.3,18.6,0,0.0,0.0,,
0,21636,18.6,18.9,0,0.0,0.0,,
0,21636,18.9,19.2,0,0.0,0.0,,
0,21636,19.2,19.5,0,0.0,0.0,,
0,21636,19.5,19.8,0,0.0,0.0,,
0,21636,19.8,20.1,0,0.0,0.0,,
0,21636,20.1,20.4,0,0.0,0.0,,
0,21636,20.4,20.7,0,0.0,0.0,,
0,21636,20.7,21.0,0,0.0,0.0,,
1,131951,12.0,12.3,0,0.0,0.0,,
1,131951,12.3,12.6,0,0.0,0.0,,
1,131951,12.6,12.9,0,0.0,0.0,,
1,131951,12.9,13.2,0,0.0,0.0,,
1,131951,13.2,13.5,0,0.0,0.0,,
1,131951,13.5,13.8,0,0.0,0.0,,
1,131951,13.8,14.1,0,0.0,0.0,,
1,131951,14.1,14.4,0,0.0,0.0,,
1,131951,14.4,14.7,0,0.0,0.0,,
1,131951,14.7,15.0,0,0.0,0.0,,
1,131951,15.0,15.3,1,1.0002186216069955,0.01478426120657378,0.9997814261779647,-0.014787455655766847
1,131951,15.3,15.6,28,27.483455574958228,0.651228368808956,1.0187947408444673,0.7931847717053391
1,131951,15.6,15.9,208,208.9674132587673,1.773812932013739,0.9953705066082752,-0.5453862926058548
1,131951,15.9,16.2,995,994.1335618908944,5.520393249637938,1.0008715510091597,0.15695224414717956
1,131951,16.2,16.5,3992,3990.4817085904806,12.186108430265797,1.0003804782280423,0.12459198260115024
1,131951,16.5,16.8,12056,12057.509044738075,22.60392941575291,0.9998748460621115,-0.06676028359138518
1,131951,16.8,17.1,22501,22474.48901924981,34.725909360235796,1.0011796032705118,0.7634351767486829
1,131951,17.1,17.4,30955,30968.382408791596,46.26059297063905,0.9995678686534238,-0.2892831226804641
1,131951,17.4,17.7,34822,34833.40161402362,54.19158325031674,0.9996726815787342,-0.2103945546479909
1,131951,17.7,18.0,24626,24626.30587316842,46.521120255382996,0.9999875794132503,-0.006574931272984393
1,131951,18.0,18.3,1767,1768.8456820917786,23.491045342456843,0.9989565612701748,-0.07856960236855794
1,131951,18.3,18.6,0,0.0,0.0,,
1,131951,18.6,18.9,0,0.0,0.0,,
1,131951,18.9,19.2,0,0.0,0.0,,
1,131951,19.2,19.5,0,0.0,0.0,,
1,131951,19.5,19.8,0,0.0,0.0,,
1,131951,19.8,20.1,0,0.0,0.0,,
1,131951,20.1,20.4,0,0.0,0.0,,
1,131951,20.4,20.7,0,0.0,0.0,,
1,131951,20.7,21.0,0,0.0,0.0,,
2,364187,12.0,12.3,0,0.0,0.0,,
2,364187,12.3,12.6,0,0.0,0.0,,
2,364187,12.6,12.9,0,0.0,0.0,,
2,364187,12.9,13.2,0,0.0,0.0,,
2,364187,13.2,13.5,0,0.0,0.0,,
2,364187,13.5,13.8,0,0.0,0.0,,
2,364187,13.8,14.1,0,0.0,0.0,,
2,364187,14.1,14.4,0,0.0,0.0,,
2,364187,14.4,14.7,0,0.0,0.0,,
2,364187,14.7,15.0,0,0.0,0.0,,
2,364187,15.0,15.3,0,0.0,0.0,,
2,364187,15.3,15.6,0,0.0,0.0,,
2,364187,15.6,15.9,0,0.0,0.0,,
2,364187,15.9,16.2,0,0.0004946162604056597,0.022234469082261798,0.0,-0.022245472045035446
2,364187,16.2,16.5,7,7.049057375170258,1.112171870086898,0.9930405765538157,-0.04410952703418478
2,364187,16.5,16.8,91,92.48014646697379,2.990149015304934,0.9839949813714625,-0.49500759306567466
2,364187,16.8,17.1,815,806.008390643011,9.183894674751347,1.0111557267410278,0.9790627697102194
2,364187,17.1,17.4,4322,4310.632044737787,22.05206334855796,1.0026371898933222,0.5155052877606021
2,364187,17.4,17.7,16251,16275.035240331716,45.540090108616035,0.9985231835153172,-0.5277820108478052
2,364187,17.7,18.0,47767,47752.76487932636,82.85217990520923,1.0002981004494633,0.17181347177501446
2,364187,18.0,18.3,93647,93771.02629403803,118.62316931707534,0.9986773495082679,-1.045548645783664
2,364187,18.3,18.6,108336,108254.04177697393,138.51423877971465,1.000757091575342,0.5916952924703504
2,364187,18.6,18.9,81246,81167.75750498743,120.5187751031822,1.0009639602893767,0.6492141572595981
2,364187,18.9,19.2,11705,11750.204170503337,64.98958847993774,0.9961529034008776,-0.6955601898801312
2,364187,19.2,19.5,0,0.0,0.0,,
2,364187,19.5,19.8,0,0.0,0.0,,
2,364187,19.8,20.1,0,0.0,0.0,,
2,364187,20.1,20.4,0,0.0,0.0,,
2,364187,20.4,20.7,0,0.0,0.0,,
2,364187,20.7,21.0,0,0.0,0.0,,
