zbin,massbin,status,component,statistic,n,measured,expected,sigma,p_value
0,0,central,mixture,red_fraction,944,0.6832627118644068,0.6718621957048087,0.015278328219480823,0.4555534218876115
0,0,central,red,standardized_mean,645,-0.06684458354777158,0.0,0.039374961547907886,0.08957537433938215
0,0,central,red,standardized_variance,645,1.0277984282723933,1.0,0.05572782125753528,0.6080835423200646
0,0,central,blue,standardized_mean,299,-0.07096240515231376,0.0,0.05783149319662402,0.21980203490876216
0,0,central,blue,standardized_variance,299,1.2128768879566698,1.0,0.08192319205190404,0.013857313855604842
0,0,satellite,mixture,red_fraction,1,1.0,0.9645833332590864,0.18483053443053357,1.0
0,1,central,mixture,red_fraction,1926,0.6848390446521287,0.6805021625224018,0.010617993082671516,0.6829458994606201
0,1,central,red,standardized_mean,1319,0.01774128325580094,0.0,0.02753452584887775,0.519362355534921
0,1,central,red,standardized_variance,1319,0.9970184173234139,1.0,0.03895446935658099,0.9492665381210385
0,1,central,blue,standardized_mean,607,-0.012392491126898489,0.0,0.04058874792340995,0.760123671785566
0,1,central,blue,standardized_variance,607,1.027703932323887,1.0,0.05744849896214261,0.6192144746455311
0,1,satellite,mixture,red_fraction,23,1.0,0.9746060603441167,0.0327258653803179,0.6689266214675706
0,1,satellite,red,standardized_mean,23,-0.23435571406729078,0.0,0.20851441405707477,0.26104250209547264
0,1,satellite,red,standardized_variance,23,0.9120860169092292,1.0,0.30151134457776363,0.84216414773937
0,2,central,mixture,red_fraction,358,0.6927374301675978,0.6966914911406279,0.024260986385453206,0.8705340061628913
0,2,central,red,standardized_mean,248,0.008989865005487731,0.0,0.06350006350009525,0.8874176617426323
0,2,central,red,standardized_variance,248,1.1892471655644017,1.0,0.08998425413316952,0.04411904730007702
0,2,central,blue,standardized_mean,110,-0.05570776653962386,0.0,0.09534625892455924,0.559040028316
0,2,central,blue,standardized_variance,110,1.1024289824434492,1.0,0.13545709229571928,0.4373978902932798
0,2,satellite,mixture,red_fraction,32,1.0,0.9811465230597953,0.023936146391129762,0.6632667346653067
0,2,satellite,red,standardized_mean,32,-0.042604862927428835,0.0,0.17677669529663687,0.8095477536650821
0,2,satellite,red,standardized_variance,32,1.0709711907851025,1.0,0.254000254000381,0.7208131693028901
1,0,central,mixture,red_fraction,12743,0.6721337204739857,0.6747744751369528,0.004148393322171214,0.5244030984138655
1,0,central,red,standardized_mean,8565,-0.001903051573152215,0.0,0.010805287240093267,0.8601978959013505
1,0,central,red,standardized_variance,8565,1.0082889867859264,1.0,0.015281875898162434,0.5850622368381695
1,0,central,blue,standardized_mean,4178,0.0026182100137121843,0.0,0.015470907239054392,0.8656122569872089
1,0,central,blue,standardized_variance,4178,0.9856549786659268,1.0,0.021881785687842666,0.5147705720679949
1,0,satellite,mixture,red_fraction,49,0.9795918367346939,0.9797741182282632,0.020038177694112206,1.0
1,0,satellite,red,standardized_mean,48,-0.08324638866067624,0.0,0.14433756729740646,0.564109770128592
1,0,satellite,red,standardized_variance,48,0.6437623099578261,1.0,0.20628424925175867,0.05510463394823489
1,1,central,mixture,red_fraction,11505,0.6897870491090831,0.6853934310033096,0.0043255863632105165,0.3097590494889386
1,1,central,red,standardized_mean,7936,-0.019022696894979152,0.0,0.011225331376673432,0.09014709362714496
1,1,central,red,standardized_variance,7936,0.9977962336434368,1.0,0.01587601615957003,0.8937029631274964
1,1,central,blue,standardized_mean,3569,-0.030085652012221558,0.0,0.0167388927220441,0.07228004300731927
1,1,central,blue,standardized_variance,3569,0.9893442575574923,1.0,0.023675686190518918,0.6572011393488725
1,1,satellite,mixture,red_fraction,486,0.9691358024691358,0.981761622998969,0.006042160011194524,0.04161916761664767
1,1,satellite,red,standardized_mean,471,-0.044823026605758515,0.0,0.04607756775840914,0.3306659966889598
1,1,satellite,red,standardized_variance,471,0.9247195778748685,1.0,0.06523280730534423,0.24505609096540362
1,1,satellite,blue,standardized_mean,15,-0.2098148029231672,0.0,0.2581988897471611,0.41644213363429583
1,1,satellite,blue,standardized_variance,15,1.133587731345062,1.0,0.3779644730092272,0.6427268405479137
1,2,central,mixture,red_fraction,1075,0.6995348837209302,0.7039116148330301,0.013901979609006064,0.7528923233846084
1,2,central,red,standardized_mean,752,-0.02608356597035879,0.0,0.03646624787447364,0.4744362443767274
1,2,central,red,standardized_variance,752,1.0541430417807154,1.0,0.05160538581911079,0.29466529316797524
1,2,central,blue,standardized_mean,323,0.03922727029194844,0.0,0.055641488407465724,0.4808100016851832
1,2,central,blue,standardized_variance,323,0.9765884531079695,1.0,0.07881104062391006,0.7847888302398194
1,2,satellite,mixture,red_fraction,386,0.9844559585492227,0.9855733931821278,0.0060309019638167816,1.0
1,2,satellite,red,standardized_mean,380,0.08922155405804813,0.0,0.051298917604257706,0.08199110094981214
1,2,satellite,red,standardized_variance,380,0.8560495736118681,1.0,0.0726432712292148,0.039298068327542617
1,2,satellite,blue,standardized_mean,6,-0.3374201586409529,0.0,0.4082482904638631,0.4085164254774567
1,2,satellite,blue,standardized_variance,6,0.6879309670476517,1.0,0.6324555320336759,0.7349247172081466
2,0,central,mixture,red_fraction,47089,0.6756567351186052,0.6764385129277521,0.002154949438129237,0.7167674124921086
2,0,central,red,standardized_mean,31816,0.012526087402250644,0.0,0.005606311325497435,0.02546444275429192
2,0,central,red,standardized_variance,31816,1.0087266685447953,1.0,0.007928646113937919,0.271285927632096
2,0,central,blue,standardized_mean,15273,-0.0002299055582771964,0.0,0.008091663690452163,0.9773330399700421
2,0,central,blue,standardized_variance,15273,0.9827422498611347,1.0,0.01144371517807935,0.13028007695449811
2,0,satellite,mixture,red_fraction,360,0.9638888888888889,0.978240206360478,0.0076657969284537955,0.06907861842763145
2,0,satellite,red,standardized_mean,347,0.06352326612526568,0.0,0.0536828127095019,0.2366873662490674
2,0,satellite,red,standardized_variance,347,1.0054987686925119,1.0,0.07602859212697055,0.9223073671458507
2,0,satellite,blue,standardized_mean,13,0.3285091545671023,0.0,0.2773500981126146,0.23623236596362196
2,0,satellite,blue,standardized_variance,13,1.0168176554279182,1.0,0.408248290463863,0.8592221632281531
2,1,central,mixture,red_fraction,26407,0.6883023440754346,0.6890734961352528,0.0028455262023459322,0.7863871241435455
2,1,central,red,standardized_mean,18176,-0.01614181606311205,0.0,0.007417385363711583,0.029539280782233952
2,1,central,red,standardized_variance,18176,1.0069680621519346,1.0,0.010490055551547521,0.5052755205223428
2,1,central,blue,standardized_mean,8231,-0.008472530401193985,0.0,0.011022337355899955,0.44208975870715916
2,1,central,blue,standardized_variance,8231,1.0150865953228,1.0,0.015588885968378735,0.3329723048901825
2,1,satellite,mixture,red_fraction,2140,0.9836448598130841,0.9842077414653138,0.002681079746112415,0.8337099114310098
2,1,satellite,red,standardized_mean,2105,-0.017751974999348396,0.0,0.021795857001338646,0.415378291069623
2,1,satellite,red,standardized_variance,2105,1.0065786715316045,1.0,0.03083132079891037,0.823393981995799
2,1,satellite,blue,standardized_mean,35,-0.16606357161448215,0.0,0.1690308509457033,0.3258804994106079
2,1,satellite,blue,standardized_variance,35,0.910375418496622,1.0,0.24253562503633297,0.764471919144737
2,2,central,mixture,red_fraction,1525,0.7180327868852459,0.7113385871724343,0.011584611919172962,0.5633635463093972
2,2,central,red,standardized_mean,1095,-0.03052094161859753,0.0,0.03021989426077497,0.3125135474662939
2,2,central,red,standardized_variance,1095,0.9764838175064499,1.0,0.04275691248090128,0.5891366559580239
2,2,central,blue,standardized_mean,430,0.007109962304249441,0.0,0.04822428221704121,0.8827884316830866
2,2,central,blue,standardized_variance,430,0.9555493436774257,1.0,0.06827887419989188,0.5234263104518493
2,2,satellite,mixture,red_fraction,938,0.9936034115138592,0.9888542216546781,0.003404387540004556,0.16300970641419799
2,2,satellite,red,standardized_mean,932,-0.02008734581360927,0.0,0.03275608910402092,0.5397176247903188
2,2,satellite,red,standardized_variance,932,1.0405997361167965,1.0,0.046348977465932154,0.37898126443638164
2,2,satellite,blue,standardized_mean,6,0.1695359231629235,0.0,0.4082482904638631,0.6779394988572075
2,2,satellite,blue,standardized_variance,6,0.602262659746984,1.0,0.6324555320336759,0.6035168921234265
