z_min,z_max,magnitude_threshold,target_cumulative,deterministic_cumulative,residual,passed
0.05,0.14,-23.4,2.030686745536283e-09,2.0309053577501514e-09,0.00010765432647286133,True
0.05,0.14,-23.1,4.8924139650068065e-08,4.892875479129654e-08,9.433259862068333e-05,True
0.05,0.14,-22.8,5.511920634585155e-07,5.512346271291597e-07,7.722112393482305e-05,True
0.05,0.14,-22.5,3.7249547136663967e-06,3.7251866873229652e-06,6.227556424165392e-05,True
0.05,0.14,-22.2,1.7638628935924468e-05,1.763946341501204e-05,4.730974786104625e-05,True
0.05,0.14,-22.0,4.309260945629218e-05,4.309426107840134e-05,3.8327270731608465e-05,True
0.05,0.14,-21.8,9.633056308706967e-05,9.633341401145476e-05,2.959522184586838e-05,True
0.05,0.14,-21.5,0.0002800174634906623,0.0002800223628726902,1.7496701694375005e-05,True
0.14,0.23,-23.4,7.107133769712543e-09,7.108243625700519e-09,0.00015616084119662865,True
0.14,0.23,-23.1,1.481870060611565e-07,1.4820500154315098e-07,0.00012143765147043517,True
0.14,0.23,-22.8,1.5881816574216117e-06,1.588314713693476e-06,8.377900049572062e-05,True
0.14,0.23,-22.5,1.0274604318932657e-05,1.0275193693679498e-05,5.736228165531543e-05,True
0.14,0.23,-22.2,4.5259881075236615e-05,4.526167405867944e-05,3.961529284279841e-05,True
0.14,0.23,-22.0,0.00010285859609816284,0.00010286164595407673,2.9650958010218886e-05,True
0.14,0.23,-21.8,0.00020969757434996983,0.00020970199705688832,2.1090882582619486e-05,True
0.14,0.23,-21.5,0.0005169571708143725,0.0005169622625164607,9.849369301040412e-06,True
0.23,0.32,-23.4,1.6714801503670957e-08,1.6717487627923334e-08,0.0001607033294286353,True
0.23,0.32,-23.1,3.005282368855491e-07,3.005633092186731e-07,0.00011670228890148238,True
0.23,0.32,-22.8,2.884926067235502e-06,2.8851523426734052e-06,7.843370423699092e-05,True
0.23,0.32,-22.5,1.715221178976862e-05,1.7153118024712016e-05,5.2834873688789585e-05,True
0.23,0.32,-22.2,7.0686575225015e-05,7.068901683018349e-05,3.454128539570611e-05,True
0.23,0.32,-22.0,0.00015474700212206018,0.00015475077079409093,2.4353764396467525e-05,True
0.23,0.32,-21.8,0.00030513914131120753,0.000305143978246188,1.5851571711467116e-05,True
0.23,0.32,-21.5,0.0007196335148302361,0.0007196367174465832,4.4503435168152805e-06,True
