zbin,lower,upper,n_native,n_resolved,n_occupied,expected_occupied,sigma_occupied,volume
0,11.85,12.0,31711,0,0,0.0,0.0,77136152.3864919
0,12.0,12.15,106522,0,0,0.0,0.0,77136152.3864919
0,12.15,12.299999999999999,69510,0,0,0.0,0.0,77136152.3864919
0,12.299999999999999,12.45,55765,0,0,0.0,0.0,77136152.3864919
0,12.45,12.6,41637,37265,0,0.06126243202072834,0.24751043474872553,77136152.3864919
0,12.6,12.75,29304,29304,7,3.2643406207631465,1.8064668644831454,77136152.3864919
0,12.75,12.9,20590,20590,17,23.42842484515785,4.835872951966938,77136152.3864919
0,12.9,13.05,15298,15298,81,79.67457929199833,8.895832773967474,77136152.3864919
0,13.05,13.2,10716,10716,191,172.78487999244157,13.019441096991969,77136152.3864919
0,13.2,13.35,7581,7581,265,295.7247810556777,16.818439203446463,77136152.3864919
0,13.35,13.5,5160,5160,384,407.5574929969594,19.304017411987967,77136152.3864919
0,13.5,13.65,3366,3366,475,480.05827611312657,20.191424155804636,77136152.3864919
0,13.65,13.8,2178,2178,509,505.30302927522825,19.583226907370108,77136152.3864919
0,13.8,13.95,1296,1296,426,442.3756652090265,16.950569886292612,77136152.3864919
0,13.95,14.1,735,735,336,346.5334634623833,13.436850598004563,77136152.3864919
0,14.1,14.25,414,414,273,248.33880484635776,9.880946458657544,77136152.3864919
0,14.25,14.4,186,186,141,133.54551255949272,6.086971589109833,77136152.3864919
0,14.4,14.55,101,101,84,83.8198707437117,3.753308853001137,77136152.3864919
0,14.55,14.7,49,49,46,44.48957147842311,2.0121255730896914,77136152.3864919
0,14.7,14.85,8,8,8,7.661851677378538,0.567612604601738,77136152.3864919
0,14.85,15.0,4,4,4,3.937309504989995,0.24801618851212956,77136152.3864919
1,11.85,12.0,107617,0,0,0.0,0.0,254921333.3526041
1,12.0,12.15,361202,0,0,0.0,0.0,254921333.3526041
1,12.15,12.299999999999999,234996,0,0,0.0,0.0,254921333.3526041
1,12.299999999999999,12.45,188850,0,0,0.0,0.0,254921333.3526041
1,12.45,12.6,138404,123735,62,78.85749862890655,8.875125928493818,254921333.3526041
1,12.6,12.75,96962,96962,364,353.2813395121926,18.747383733848984,254921333.3526041
1,12.75,12.9,68454,68454,891,881.4112736853212,29.45063145884617,254921333.3526041
1,12.9,13.05,49868,49868,1682,1683.0420513922181,40.21173545640716,254921333.3526041
1,13.05,13.2,34957,34957,2514,2603.0192222084897,48.854975197426555,254921333.3526041
1,13.2,13.35,24072,24072,3375,3371.593451198701,53.47996444797774,254921333.3526041
1,13.35,13.5,16043,16043,3896,3756.5143091526465,53.16589290869996,254921333.3526041
1,13.5,13.65,10568,10568,3720,3725.115637417948,48.58365310239935,254921333.3526041
1,13.65,13.8,6492,6492,3122,3157.106717385841,39.76883420246442,254921333.3526041
1,13.8,13.95,3907,3907,2500,2438.4538148696356,29.859749378077,254921333.3526041
1,13.95,14.1,2175,2175,1618,1630.2511752013534,19.92283111856127,254921333.3526041
1,14.1,14.25,1158,1158,957,989.0195219221645,11.85963310230972,254921333.3526041
1,14.25,14.4,560,560,520,516.3572349980132,6.2665519974981665,254921333.3526041
1,14.4,14.55,230,230,225,223.18185193175808,2.553331447101075,254921333.3526041
1,14.55,14.7,65,65,65,64.38317028060023,0.778342212328533,254921333.3526041
1,14.7,14.85,22,22,22,21.96751036317167,0.18002113503898323,254921333.3526041
1,14.85,15.0,5,5,5,4.998908318810099,0.03303081039110749,254921333.3526041
2,11.85,12.0,215135,0,0,0.0,0.0,506623007.83552676
2,12.0,12.15,720107,0,0,0.0,0.0,506623007.83552676
2,12.15,12.299999999999999,463289,0,0,0.0,0.0,506623007.83552676
2,12.299999999999999,12.45,370513,0,0,0.0,0.0,506623007.83552676
2,12.45,12.6,270661,242287,796,828.0074661635748,28.70892740194083,506623007.83552676
2,12.6,12.75,187720,187720,2301,2364.196868495652,48.25261006924931,506623007.83552676
2,12.75,12.9,131426,131426,4606,4559.921024655702,66.19336058468889,506623007.83552676
2,12.9,13.05,95089,95089,7451,7384.468478927429,82.2216283794315,506623007.83552676
2,13.05,13.2,65677,65677,9841,9859.059127035984,91.05954753937628,506623007.83552676
2,13.2,13.35,43903,43903,11103,11098.938253063316,90.46889649115137,506623007.83552676
2,13.35,13.5,29245,29245,11241,11151.628333579994,82.42230183195448,506623007.83552676
2,13.5,13.65,18687,18687,9844,9818.902865472539,67.67572381029332,506623007.83552676
2,13.65,13.8,11254,11254,7532,7527.1856765981065,49.497846019959276,506623007.83552676
2,13.8,13.95,6376,6376,5076,5049.102247097275,32.14541679476119,506623007.83552676
2,13.95,14.1,3614,3614,3208,3202.0442753686307,18.972686177425444,506623007.83552676
2,14.1,14.25,1696,1696,1587,1607.2132618004412,9.12601768822771,506623007.83552676
2,14.25,14.4,756,756,746,742.1317975953051,3.6783466372535423,506623007.83552676
2,14.4,14.55,289,289,286,287.53968386421667,1.2036845421888058,506623007.83552676
2,14.55,14.7,104,104,104,103.92557159158038,0.2726079344407077,506623007.83552676
2,14.7,14.85,20,20,20,19.99853647539294,0.0382510866727503,506623007.83552676
2,14.85,15.0,5,5,5,4.999999604444953,0.0006289316012509581,506623007.83552676
