z_min,z_max,magnitude_bright,magnitude_faint,volume_mpc_h3,count,target_lf,deterministic_lf,mock_lf,deterministic_residual,mock_residual,poisson_sigma,hod_sigma,jackknife_sigma,acceptance_sigma,allowed_relative_error,apparent_complete,passed
0.05,0.14,-23.4,-23.1,77136152.3864919,7,1.563115096817741e-07,1.5632616477848946e-07,3.0249542674129665e-07,9.375571092107293e-05,0.9352089130041048,1.143325245559755e-07,8.130862636699068e-08,1.1998829349486836e-07,1.1998829349486836e-07,2.30286868329426,True,False
0.05,0.14,-23.1,-22.8,77136152.3864919,45,1.6742264126948206e-06,1.674352907792873e-06,1.9446134576225984e-06,7.555435578687764e-05,0.16149968897729017,2.8988585874700245e-07,2.616028992949672e-07,3.1574677637412716e-07,3.1574677637412716e-07,0.5657779150656879,True,False
0.05,0.14,-22.8,-22.5,77136152.3864919,246,1.0579208834026245e-05,1.0579840200645994e-05,1.063055356833687e-05,5.9679946738278034e-05,0.0048533623937438986,6.777793402143964e-07,6.445863729334543e-07,8.20067952048088e-07,8.20067952048088e-07,0.23255083577057598,True,True
0.05,0.14,-22.5,-22.2,77136152.3864919,1082,4.637891407419346e-05,4.638092242563014e-05,4.6757150247725583e-05,4.330311471867354e-05,0.008155347771339638,1.421459215906191e-06,1.323843043902827e-06,1.6385925922730026e-06,1.6385925922730026e-06,0.10599165321023085,True,True
0.05,0.14,-22.2,-22.0,77136152.3864919,1904,0.00012726990260183903,0.00012727398831694696,0.0001234181341104483,3.210275976006649e-05,-0.030264566976537233,2.828430451126854e-06,2.7178029797432604e-06,4.041534889574652e-06,4.041534889574652e-06,0.09526686530636785,True,True
0.05,0.14,-22.0,-21.8,77136152.3864919,4062,0.0002661897681538884,0.00026619576466526806,0.00026330066216210136,2.252720463769009e-05,-0.010853557639814215,4.131254898298121e-06,3.897013825385128e-06,6.9027715594378365e-06,6.9027715594378365e-06,0.0777953067915883,True,True
0.05,0.14,-21.8,-21.5,77136152.3864919,14290,0.0006122896680119741,0.0006122964962041168,0.000617522806876154,1.1151898356986933e-05,0.008546835162466904,5.165791669220056e-06,4.581291955105138e-06,1.0689053440434548e-05,1.0689053440434548e-05,0.05237253214711526,True,True
0.14,0.23,-23.4,-23.1,254921333.3526041,46,4.702662409714843e-07,4.7032252639150604e-07,6.014927480441426e-07,0.00011968841289888843,0.2790472622520561,8.868526738461306e-08,7.706582489494108e-08,7.261405053780467e-08,7.706582489494108e-08,0.4916310263037624,True,False
0.14,0.23,-23.1,-22.8,254921333.3526041,348,4.799982171201506e-06,4.800365707167739e-06,4.550423398246938e-06,7.990362308718524e-05,-0.05199160414633375,2.439282982039869e-07,2.4136133798750655e-07,2.581220966747302e-07,2.581220966747302e-07,0.16132690964357382,True,True
0.14,0.23,-22.8,-22.5,254921333.3526041,2237,2.8954742205036753e-05,2.8956263266620003e-05,2.9250853855972414e-05,5.253238217339806e-05,0.010226706521467621,6.184513700692808e-07,5.785596038445477e-07,7.889547941557555e-07,7.889547941557555e-07,0.08174358333798407,True,True
0.14,0.23,-22.5,-22.2,254921333.3526041,8947,0.00011661758918767957,0.0001166216012166662,0.00011699033949458434,3.4403292115348094e-05,0.0031963472191565145,1.2368336220507127e-06,1.1353893450661655e-06,2.1264436818476717e-06,2.1264436818476717e-06,0.05470299197556194,True,True
0.14,0.23,-22.2,-22.0,254921333.3526041,14665,0.00028799357511463214,0.0002879998594769875,0.00028763775489349893,2.182118942362088e-05,-0.0012355144415689967,2.375225551981765e-06,2.2267915631458053e-06,3.841996670647688e-06,3.841996670647688e-06,0.05,True,True
0.14,0.23,-22.0,-21.8,254921333.3526041,27154,0.0005341948912590368,0.0005342017555140598,0.0005325956765344746,1.2849720458341096e-05,-0.0029936915360480043,3.232069789162312e-06,3.012616467111618e-06,5.9289578270896185e-06,5.9289578270896185e-06,0.05,True,True
0.14,0.23,-21.8,-21.5,254921333.3526041,78553,0.0010241986548813397,0.0010242008848652387,0.0010271534747198039,2.177296258176753e-06,0.0028850065603791553,3.664830994894157e-06,3.225584009441674e-06,8.764373224588561e-06,8.764373224588561e-06,0.05,True,True
0.23,0.32,-23.4,-23.1,506623007.83552676,144,9.460447846062693e-07,9.461527386358417e-07,9.474500616360375e-07,0.00011411090820323544,0.0014854233675132278,7.895417180300312e-08,7.716037274263206e-08,8.349304069190869e-08,8.349304069190869e-08,0.2647645504223904,True,False
0.23,0.32,-23.1,-22.8,506623007.83552676,1268,8.614659434499823e-06,8.61529677818242e-06,8.342824153850565e-06,7.398361913701912e-05,-0.031554965430277804,2.3428984391940575e-07,2.280486187839031e-07,2.345876726363981e-07,2.345876726363981e-07,0.08169365524663431,True,True
0.23,0.32,-22.8,-22.5,506623007.83552676,7214,4.755761907511028e-05,4.755988560679526e-05,4.746461628223815e-05,4.765864500910766e-05,-0.001955581349126101,5.588328214913208e-07,5.229095129349773e-07,6.939277433231428e-07,6.939277433231428e-07,0.05,True,True
0.23,0.32,-22.5,-22.2,506623007.83552676,27260,0.0001784478781174875,0.0001784529960182378,0.0001793575602791533,2.8680087453603065e-05,0.005097747147583709,1.0863174654326268e-06,9.904294000614607e-07,2.2616296504578076e-06,2.2616296504578076e-06,0.05,True,True
0.23,0.32,-22.2,-22.0,506623007.83552676,42565,0.0004203021344852274,0.0004203087698195387,0.000420085540349351,1.5787058325056336e-05,-0.0005153296119747575,2.036157715057329e-06,1.900254966660652e-06,3.991806756589036e-06,3.991806756589036e-06,0.05,True,True
0.23,0.32,-22.0,-21.8,506623007.83552676,75906,0.0007519606959457395,0.0007519660372604881,0.00074913692060984,7.103183420786863e-06,-0.003755216663748784,2.719087281005376e-06,2.5201853143132327e-06,7.397483280712267e-06,7.397483280712267e-06,0.05,True,True
0.23,0.32,-21.8,-21.5,506623007.83552676,209822,0.0013816479117300918,0.0013816424640013141,0.0013805268530041272,-3.942921153354817e-06,-0.0008113924802743977,3.0138341351555526e-06,2.6140470465813632e-06,1.0307773148449974e-05,1.0307773148449974e-05,0.05,True,True
