zbin,status,lower,upper,n_halos,count,expected,sigma
0,central,11.85,12.0,0,0,0.0,0.0
0,central,12.0,12.15,0,0,0.0,0.0
0,central,12.15,12.299999999999999,0,0,0.0,0.0
0,central,12.299999999999999,12.45,0,0,0.0,0.0
0,central,12.45,12.6,37265,0,0.061262432020618894,0.24751043474850187
0,central,12.6,12.75,29304,7,3.2643406207631327,1.8064668644831625
0,central,12.75,12.9,20590,17,23.42842484515802,4.835872951966969
0,central,12.9,13.05,15298,81,79.6745731737536,8.89583243948549
0,central,13.05,13.2,10716,191,172.77843589244918,13.019206467022302
0,central,13.2,13.35,7581,265,295.6531630136609,16.816529023942657
0,central,13.35,13.5,5160,383,407.2529048899755,19.297647162807188
0,central,13.5,13.65,3366,475,479.2176521658731,20.177408857138406
0,central,13.65,13.8,2178,507,503.52753929265407,19.56103488658616
0,central,13.8,13.95,1296,423,439.63432252284736,16.928627970641003
0,central,13.95,14.1,735,332,343.04909620510676,13.433954741760866
0,central,14.1,14.25,414,268,244.72089038640635,9.922560077922471
0,central,14.25,14.4,186,141,130.99880867150787,6.17927865754136
0,central,14.4,14.55,101,84,81.88938727357315,3.916429143695756
0,central,14.55,14.7,49,42,43.41926110579689,2.213376837822574
0,central,14.7,14.85,8,8,7.4914772158841405,0.6884778893056515
0,central,14.85,15.0,4,4,3.869857410125086,0.3541776499498537
0,satellite,11.85,12.0,0,0,0.0,0.0
0,satellite,12.0,12.15,0,0,0.0,0.0
0,satellite,12.15,12.299999999999999,0,0,0.0,0.0
0,satellite,12.299999999999999,12.45,0,0,0.0,0.0
0,satellite,12.45,12.6,37265,0,0.0,0.0
0,satellite,12.6,12.75,29304,0,0.0,0.0
0,satellite,12.75,12.9,20590,0,0.0,0.0
0,satellite,12.9,13.05,15298,0,6.203033331944248e-06,0.0024905889528270713
0,satellite,13.05,13.2,10716,0,0.006616146824353423,0.08133970017373696
0,satellite,13.2,13.35,7581,0,0.07551707747779225,0.27480370717621744
0,satellite,13.35,13.5,5160,1,0.33727688764467667,0.580755445643583
0,satellite,13.5,13.65,3366,1,1.006512356855244,1.003250894270842
0,satellite,13.65,13.8,2178,2,2.3931221362128174,1.5469719248301883
0,satellite,13.8,13.95,1296,5,4.344181660636451,2.084270054632185
0,satellite,13.95,14.1,735,7,6.899477209791932,2.626685594012335
0,satellite,14.1,14.25,414,10,9.624954980835033,3.1024111559938397
0,satellite,14.25,14.4,186,2,9.551595994100563,3.090565643066098
0,satellite,14.4,14.55,101,6,11.614367994576215,3.407985914668107
0,satellite,14.55,14.7,49,13,11.5133297704925,3.393129789809476
0,satellite,14.7,14.85,8,6,3.5011739387156546,1.8711424154017926
0,satellite,14.85,15.0,4,3,3.325960052077936,1.8237214842398322
1,central,11.85,12.0,0,0,0.0,0.0
1,central,12.0,12.15,0,0,0.0,0.0
1,central,12.15,12.299999999999999,0,0,0.0,0.0
1,central,12.299999999999999,12.45,0,0,0.0,0.0
1,central,12.45,12.6,123735,62,78.85749862890675,8.875125928493745
1,central,12.6,12.75,96962,364,353.28133951219314,18.747383733848938
1,central,12.75,12.9,68454,891,881.4111319403278,29.45062918918703
1,central,12.9,13.05,49868,1682,1682.7547133277965,40.20852813806344
1,central,13.05,13.2,34957,2512,2600.5108929839757,48.83418944944141
1,central,13.2,13.35,24072,3362,3363.018508936093,53.42642520018705
1,central,13.35,13.5,16043,3870,3737.4096555888664,53.080896823145366
1,central,13.5,13.65,10568,3694,3693.1196121086095,48.50585687381149
1,central,13.65,13.8,6492,3072,3116.909342213527,39.78035659934606
1,central,13.8,13.95,3907,2461,2397.231661545321,30.053100270979165
1,central,13.95,14.1,2175,1593,1597.5721454169302,20.33660896299829
1,central,14.1,14.25,1158,935,968.1654143883065,12.457765817258196
1,central,14.25,14.4,560,512,506.36195953769,6.890272630049639
1,central,14.4,14.55,230,222,219.9263248366956,3.0826397187484216
1,central,14.55,14.7,65,64,63.79586867930262,1.082309614400103
1,central,14.7,14.85,22,22,21.886533001981878,0.33561475801029983
1,central,14.85,15.0,5,5,4.992735210225874,0.08509353248671894
1,satellite,11.85,12.0,0,0,0.0,0.0
1,satellite,12.0,12.15,0,0,0.0,0.0
1,satellite,12.15,12.299999999999999,0,0,0.0,0.0
1,satellite,12.299999999999999,12.45,0,0,0.0,0.0
1,satellite,12.45,12.6,123735,0,0.0,0.0
1,satellite,12.6,12.75,96962,0,0.0,0.0
1,satellite,12.75,12.9,68454,0,0.00014589256553854777,0.01207859948580744
1,satellite,12.9,13.05,49868,0,0.3028657328334191,0.5503323839584757
1,satellite,13.05,13.2,34957,2,2.773853128144016,1.665488855604869
1,satellite,13.2,13.35,24072,13,10.301344407577266,3.209570751296389
1,satellite,13.35,13.5,16043,33,26.04888983983132,5.1038113052728855
1,satellite,13.5,13.65,10568,40,52.21921894758272,7.226286663811693
1,satellite,13.65,13.8,6492,88,83.73294726537243,9.150570871009766
1,satellite,13.8,13.95,3907,125,118.59056042952423,10.889929312420914
1,satellite,13.95,14.1,2175,139,141.8427171744273,11.909774018612918
1,satellite,14.1,14.25,1158,146,153.74596778814683,12.399434172096194
1,satellite,14.25,14.4,560,129,137.63191934605973,11.731663110832145
1,satellite,14.4,14.55,230,118,107.79614762277674,10.382492360834018
1,satellite,14.55,14.7,65,48,53.44622371129902,7.310692423519062
1,satellite,14.7,14.85,22,29,32.78562070830348,5.725872921075308
1,satellite,14.85,15.0,5,9,13.204177605672829,3.633755303494283
2,central,11.85,12.0,0,0,0.0,0.0
2,central,12.0,12.15,0,0,0.0,0.0
2,central,12.15,12.299999999999999,0,0,0.0,0.0
2,central,12.299999999999999,12.45,0,0,0.0,0.0
2,central,12.45,12.6,242287,796,828.007466163574,28.70892740194135
2,central,12.6,12.75,187720,2301,2364.196868495687,48.25261006924958
2,central,12.75,12.9,131426,4606,4559.437438974109,66.19011314600131
2,central,12.9,13.05,95089,7446,7376.796197920545,82.1840956571202
2,central,13.05,13.2,65677,9811,9828.667546105498,90.95007740153659
2,central,13.2,13.35,43903,11033,11029.826382611158,90.29697522384268
2,central,13.35,13.5,29245,11096,11036.895085269707,82.28411965926917
2,central,13.5,13.65,18687,9703,9674.498684296883,67.75823578671863
2,central,13.65,13.8,11254,7392,7388.103837786713,49.981635287488174
2,central,13.8,13.95,6376,4983,4946.237675380525,33.05377838194136
2,central,13.95,14.1,3614,3140,3139.325044281191,20.178421603872522
2,central,14.1,14.25,1696,1560,1581.4532530132935,10.285301714864604
2,central,14.25,14.4,756,740,734.2908228075232,4.57714234725603
2,central,14.4,14.55,289,285,285.93586310071464,1.737958796206954
2,central,14.55,14.7,104,104,103.74359290546013,0.5053239305741961
2,central,14.7,14.85,20,20,19.990769459285325,0.09601502256080421
2,central,14.85,15.0,5,5,4.999986056158322,0.0037341316375252434
2,satellite,11.85,12.0,0,0,0.0,0.0
2,satellite,12.0,12.15,0,0,0.0,0.0
2,satellite,12.15,12.299999999999999,0,0,0.0,0.0
2,satellite,12.299999999999999,12.45,0,0,0.0,0.0
2,satellite,12.45,12.6,242287,0,0.0,0.0
2,satellite,12.6,12.75,187720,0,0.0,0.0
2,satellite,12.75,12.9,131426,0,0.5120468697041416,0.7155745032518568
2,satellite,12.9,13.05,95089,7,8.509787507468467,2.9171540081847698
2,satellite,13.05,13.2,65677,34,36.78293187471972,6.06489339351647
2,satellite,13.2,13.35,43903,107,95.77492260798098,9.786466298311202
2,satellite,13.35,13.5,29245,213,193.30434029590342,13.903393121677292
2,satellite,13.5,13.65,18687,325,318.93745943397477,17.858820213944
2,satellite,13.65,13.8,11254,443,439.6934876095501,20.968869488113807
2,satellite,13.8,13.95,6376,474,514.3248641811823,22.67873153818754
2,satellite,13.95,14.1,3614,553,560.065087947189,23.66569432632791
2,satellite,14.1,14.25,1696,477,478.67150503712185,21.87856268215812
2,satellite,14.25,14.4,756,345,382.1616380229718,19.548954908714986
2,satellite,14.4,14.55,289,230,246.60866109631036,15.703778561107844
2,satellite,14.55,14.7,104,141,151.35150465273918,12.302499935083892
2,satellite,14.7,14.85,20,56,47.63693306871938,6.901951395708273
2,satellite,14.85,15.0,5,38,23.55927973428846,4.853790244158524
