dimension,group,n_sample,lower,upper,count,expected,sigma,ratio,pull
redshift,0,56,0.0,0.16666666666666666,6,8.168790927116863,2.640803796342823,0.7345028234328519,-0.8212616666639007
redshift,0,56,0.16666666666666666,0.3333333333333333,14,11.643787841628697,3.0367956178483593,1.2023578744665382,0.7758876312001314
redshift,0,56,0.3333333333333333,0.5,13,10.74859801720061,2.9471141816096496,1.209460059739563,0.7639344267176384
redshift,0,56,0.5,0.6666666666666666,9,9.511361935591271,2.809889084613366,0.9462367283408942,-0.18198651982081107
redshift,0,56,0.6666666666666666,0.8333333333333333,7,8.417443714505671,2.6742257592751812,0.8316063923227656,-0.5300389129786309
redshift,0,56,0.8333333333333333,1.0,7,7.51001756395689,2.5499022359838457,0.9320883660239843,-0.20001455615026986
redshift,1,919,0.0,0.06666666666666667,33,32.51918038507368,5.600173977783214,1.014785723663165,0.08585797813314489
redshift,1,919,0.06666666666666667,0.13333333333333333,70,65.34270272366173,7.790054179577342,1.0712749409223898,0.5978517182265549
redshift,1,919,0.13333333333333333,0.2,81,75.51389763320111,8.324830162798975,1.0726502344435578,0.659004719557468
redshift,1,919,0.2,0.26666666666666666,60,77.34544219195779,8.41627799194394,0.7757406034487533,-2.060939789365423
redshift,1,919,0.26666666666666666,0.3333333333333333,75,75.8432730287442,8.341683157487175,0.9888813734551697,-0.101091471927619
redshift,1,919,0.3333333333333333,0.4,70,73.00714995970544,8.198006872343475,0.9588101992563034,-0.36681476443381206
redshift,1,919,0.4,0.4666666666666667,75,69.70338138819129,8.025982446811163,1.0759879722665224,0.6599339890050635
redshift,1,919,0.4666666666666667,0.5333333333333333,80,66.32367995561376,7.844523411424722,1.2062056878258103,1.7434226819271295
redshift,1,919,0.5333333333333333,0.6,64,63.04602633325912,7.662889380717144,1.0151313845173715,0.12449268407050915
redshift,1,919,0.6,0.6666666666666666,67,59.947298380181095,7.485685252132401,1.1176483646534197,0.9421584507323287
redshift,1,919,0.6666666666666666,0.7333333333333333,44,57.055154556985215,7.3151381254128225,0.7711836089420095,-1.7846764248554037
redshift,1,919,0.7333333333333333,0.8,57,54.37311760779143,7.152214202789458,1.0483121532805422,0.36728239923016465
redshift,1,919,0.8,0.8666666666666667,52,51.89312928948811,6.9971975735446,1.0020594385417714,0.015273358996743869
redshift,1,919,0.8666666666666667,0.9333333333333333,53,49.601973901328925,6.850002623124074,1.0685058644123846,0.4960620142246515
redshift,1,919,0.9333333333333333,1.0,38,47.48459266481709,6.710347715179815,0.8002595761583833,-1.4134278978362802
redshift,2,3443,0.0,0.06666666666666667,120,121.44297568150066,10.82276715603254,0.9881180803302693,-0.13332779507284792
redshift,2,3443,0.06666666666666667,0.13333333333333333,270,244.24661982809727,15.062214300631581,1.10544006787086,1.7098004090157486
redshift,2,3443,0.13333333333333333,0.2,286,282.4818726959692,16.102154873325567,1.0124543471425416,0.21848798075212095
redshift,2,3443,0.2,0.26666666666666666,275,289.50393255424035,16.283486459444944,0.9499007408076471,-0.8907141962726051
redshift,2,3443,0.26666666666666666,0.3333333333333333,305,284.0131116488906,16.14258636097401,1.073894082668459,1.3000945376291684
redshift,2,3443,0.3333333333333333,0.4,288,273.494839834295,15.86725397374186,1.0530363211770042,0.9141569290886148
