dimension,group,n_sample,lower,upper,count,expected,sigma,ratio,pull
redshift,0,56,-4.0,-3.6666666666666665,0,0.0051069282953938085,0.07145951698907158,0.0,-0.07146603434466006
redshift,0,56,-3.6666666666666665,-3.3333333333333335,0,0.017146860820974358,0.13092597357302918,0.0,-0.13096607459183807
redshift,0,56,-3.3333333333333335,-3.0,0,0.05156691111226234,0.22697891170000445,0.0,-0.227188115081007
redshift,0,56,-3.0,-2.666666666666667,0,0.13890702201373956,0.37223979579232563,0.0,-0.37316542611482745
redshift,0,56,-2.666666666666667,-2.3333333333333335,1,0.3351570914191139,0.5771925100299518,2.983675493082437,1.1518564378917286
redshift,0,56,-2.3333333333333335,-2.0,0,0.7243489858938962,0.8455647072972327,0.0,-0.8566452450566545
redshift,0,56,-2.0,-1.666666666666667,2,1.4022523381795873,1.1692474634057732,1.4262768159091912,0.5112242536573899
redshift,0,56,-1.666666666666667,-1.3333333333333335,4,2.431568577370976,1.525118933221256,1.6450286606042672,1.0283994175564304
redshift,0,56,-1.3333333333333335,-1.0,2,3.776865915512998,1.8767362205481128,0.5295395824843168,-0.9467851134636561
redshift,0,56,-1.0,-0.666666666666667,4,5.254887882466081,2.182151112519854,0.7611960691581547,-0.5750691944596771
redshift,0,56,-0.666666666666667,-0.3333333333333335,6,6.549132947551082,2.4048325702714934,0.9161518094152571,-0.22834560473750065
redshift,0,56,-0.3333333333333335,0.0,10,7.311284949821241,2.521256310894102,1.3677486336029754,1.0664187685167446
redshift,0,56,0.0,0.33333333333333304,4,7.3112849498212285,2.5212563108941004,0.547099453441191,-1.3133472132577286
redshift,0,56,0.33333333333333304,0.6666666666666661,11,6.549132947551076,2.4048325702714926,1.6796116505946397,1.8508012189582268
redshift,0,56,0.6666666666666661,1.0,3,5.254887882466099,2.1821511125198576,0.5708970518686141,-1.0333325998960028
redshift,0,56,1.0,1.333333333333333,8,3.776865915512995,1.8767362205481124,2.118158329937269,2.250254478092618
redshift,0,56,1.333333333333333,1.666666666666666,1,2.431568577370972,1.5251189332212547,0.41125716515106747,-0.9386602881831045
redshift,0,56,1.666666666666666,2.0,0,1.4022523381795935,1.1692474634057757,0.0,-1.1992776397351532
redshift,0,56,2.0,2.333333333333333,0,0.7243489858938981,0.8455647072972338,0.0,-0.8566452450566556
redshift,0,56,2.333333333333333,2.666666666666666,0,0.3351570914191102,0.5771925100299486,0.0,-0.5806677765131082
redshift,0,56,2.666666666666666,3.0,0,0.1389070220137416,0.3722397957923284,0.0,-0.3731654261148302
redshift,0,56,3.0,3.333333333333333,0,0.051566911112265856,0.22697891170001216,0.0,-0.22718811508101477
redshift,0,56,3.333333333333333,3.666666666666666,0,0.01714686082097039,0.13092597357301405,0.0,-0.13096607459182288
redshift,0,56,3.666666666666666,4.0,0,0.00510692829539483,0.07145951698907874,0.0,-0.0714660343446672
redshift,1,919,-4.0,-3.6666666666666665,0,0.08380834113333768,0.2894835024992846,0.0,-0.2895099043979019
redshift,1,919,-3.6666666666666665,-3.3333333333333335,1,0.2813922338299185,0.530382949605516,3.5537583478740515,1.3548847426271184
redshift,1,919,-3.3333333333333335,-3.0,2,0.8462498448601623,0.9194947450098461,2.363368232381169,1.2547653604344233
redshift,1,919,-3.0,-2.666666666666667,2,2.2795634505469047,1.5079486175656687,0.8773609699349089,-0.18539322049196424
redshift,1,919,-2.666666666666667,-2.3333333333333335,6,5.5001672681101015,2.338214928676007,1.090875914772251,0.2137668037954596
redshift,1,919,-2.3333333333333335,-2.0,20,11.887084250651618,3.425394452296948,1.6824983804505005,2.3684617530422365
redshift,1,919,-2.0,-1.666666666666667,25,23.011962478340013,4.7366378231589685,1.0863914811060216,0.4197149108466394
redshift,1,919,-1.666666666666667,-1.3333333333333335,36,39.903777189355836,6.178278123323735,0.902170233889609,-0.6318552048698831
redshift,1,919,-1.3333333333333335,-1.0,61,61.98106743493653,7.602684670743337,0.9841714982407106,-0.12904223671302223
redshift,1,919,-1.0,-0.666666666666667,90,86.236463642613,8.839924668558343,1.0436420534703754,0.42574303498004495
redshift,1,919,-0.666666666666667,-0.3333333333333335,99,107.47594962141865,9.742010367534581,0.9211363132749701,-0.8700411210467297
redshift,1,919,-0.3333333333333335,0.0,106,119.98340837295929,10.213644568681717,0.8834554830323462,-1.369090952688609
redshift,1,919,0.0,0.33333333333333304,117,119.98340837295909,10.21364456868171,0.9751348256111761,-0.2921002735994134
redshift,1,919,0.33333333333333304,0.6666666666666661,106,107.47594962141855,9.742010367534577,0.9862671637085548,-0.1515035978956847
redshift,1,919,0.6666666666666661,1.0,100,86.23646364261332,8.839924668558357,1.1596022816337461,1.556974394401857
redshift,1,919,1.0,1.333333333333333,60,61.98106743493647,7.602684670743335,0.9680375392531588,-0.2605747207377964
redshift,1,919,1.333333333333333,1.666666666666666,44,39.90377718935577,6.17827812332373,1.1026525080873018,0.6630039517289621
redshift,1,919,1.666666666666666,2.0,26,23.011962478340116,4.736637823158979,1.1298471403502572,0.6308351267750272
redshift,1,919,2.0,2.333333333333333,9,11.887084250651649,3.4253944522969526,0.7571242712027233,-0.8428472372621695
redshift,1,919,2.333333333333333,2.666666666666666,5,5.500167268110041,2.338214928675994,0.9090632623102192,-0.2139098771357426
redshift,1,919,2.666666666666666,3.0,4,2.279563450546938,1.5079486175656795,1.7547219398697922,1.140911917960711
redshift,1,919,3.0,3.333333333333333,0,0.84624984486022,0.9194947450098774,0.0,-0.9203422308314873
redshift,1,919,3.333333333333333,3.666666666666666,0,0.28139223382985334,0.5303829496054546,0.0,-0.5305453993933583
redshift,1,919,3.666666666666666,4.0,0,0.08380834113335445,0.2894835024993136,0.0,-0.28950990439793084
redshift,2,3443,-4.0,-3.6666666666666665,0,0.31398489501858723,0.5603179999960511,0.0,-0.5603691029394023
redshift,2,3443,-3.6666666666666665,-3.3333333333333335,4,1.0542257465466913,1.0265977542388742,3.7942537574165014,2.8694532413402007
redshift,2,3443,-3.3333333333333335,-3.0,0,3.170444195705701,1.7797541209868053,0.0,-1.7813944961946828
redshift,2,3443,-3.0,-2.666666666666667,8,8.540301371309024,2.9187526964279895,0.9367350930818255,-0.18511378917790886
redshift,2,3443,-2.666666666666667,-2.3333333333333335,21,20.60617617421445,4.5257981925926405,1.0191119314159005,0.0870175401170383
redshift,2,3443,-2.3333333333333335,-2.0,43,44.53452782915508,6.630119340611951,0.965542963988708,-0.23144799517491738
redshift,2,3443,-2.0,-1.666666666666667,73,86.21347857771998,9.168133620273029,0.8467353504845735,-1.4412397468228089
redshift,2,3443,-1.666666666666667,-1.3333333333333335,149,149.49804664086196,11.958541373143245,0.99666854081339,-0.04164777503554755
redshift,2,3443,-1.3333333333333335,-1.0,217,232.20980976984382,14.715591847318038,0.9344997104776964,-1.0335846446173247
redshift,2,3443,-1.0,-0.666666666666667,305,323.0817674880485,17.11036680031397,0.944033463637909,-1.0567726395974586
redshift,2,3443,-0.666666666666667,-0.3333333333333335,383,402.6547274717567,18.85642434871141,0.9511871433990916,-1.0423358696369094
redshift,2,3443,-0.3333333333333335,0.0,493,449.5134657541881,19.769309297369762,1.0967413382663649,2.199699220225041
redshift,2,3443,0.0,0.33333333333333304,489,449.51346575418734,19.769309297369748,1.0878428284224204,1.997365393593505
redshift,2,3443,0.33333333333333304,0.6666666666666661,371,402.65472747175636,18.856424348711407,0.921384935250818,-1.6787237541098057
redshift,2,3443,0.6666666666666661,1.0,318,323.08176748804965,17.110366800313997,0.9842709555306688,-0.29699933071898804
redshift,2,3443,1.0,1.333333333333333,224,232.20980976984362,14.71559184731803,0.9646448624285906,-0.5578987141682571
redshift,2,3443,1.333333333333333,1.666666666666666,154,149.49804664086173,11.958541373143236,1.0301137938608207,0.3764634179590547
redshift,2,3443,1.666666666666666,2.0,106,86.21347857772037,9.168133620273048,1.229506125361156,2.158184232669413
redshift,2,3443,2.0,2.333333333333333,48,44.534527829155195,6.63011934061196,1.077815401661811,0.5226862433105076
redshift,2,3443,2.333333333333333,2.666666666666666,20,20.606176174214223,4.525798192592616,0.9705827918246779,-0.13393795932093328
redshift,2,3443,2.666666666666666,3.0,11,8.54030137130915,2.9187526964280113,1.288010752987491,0.8427225203769559
redshift,2,3443,3.0,3.333333333333333,3,3.170444195705917,1.779754120986866,0.9462396480793548,-0.09576839502492991
redshift,2,3443,3.333333333333333,3.666666666666666,2,1.0542257465464473,1.0265977542387554,1.89712687870869,0.9212705264048282
redshift,2,3443,3.666666666666666,4.0,0,0.31398489501865,0.5603179999961072,0.0,-0.5603691029394583
mass,0,410,-4.0,-3.6666666666666665,0,0.03739001073413324,0.19335615052685987,0.0,-0.1933737852778531
mass,0,410,-3.6666666666666665,-3.3333333333333335,0,0.12553951672499084,0.3542613121487208,0.0,-0.354369818040669
mass,0,410,-3.3333333333333335,-3.0,0,0.377543456357635,0.6141626821211332,0.0,-0.6147287475261659
mass,0,410,-3.0,-2.666666666666667,1,1.0169978397434505,1.0072115936400148,0.9832862577685136,-0.016876135909060674
mass,0,410,-2.666666666666667,-2.3333333333333335,4,2.453828705032798,1.5617754856836654,1.6301056352450387,0.9900086850770149
mass,0,410,-2.3333333333333335,-2.0,7,5.3032693610088835,2.287940693041173,1.3199404977363498,0.7415972993319991
mass,0,410,-2.0,-1.666666666666667,7,10.266490333100549,3.1637659763640817,0.6818298924834182,-1.03246901240607
mass,0,410,-1.666666666666667,-1.3333333333333335,20,17.802555655751785,4.126687926933388,1.1234342072419388,0.5324958860848906
mass,0,410,-1.3333333333333335,-1.0,27,27.652054024291594,5.078098851619814,0.976419327702789,-0.1284051459698548
